starttimes,name,imports
0,ClarkSt_WrightwoodAve,WellsSt_ConcordLn
0,MiesvanderRoheWay_ChicagoAve,LakeShoreDr_OhioSt
0,StetsonAve_SouthWaterSt,MichiganAve_14thSt
0,LincolnAve_FullertonAve,WoodSt_DivisionSt
0,MillenniumPark,LaSalleSt_IllinoisSt
0,MichiganAve_CongressPkwy,IndianaAve_RooseveltRd
0,StateSt_VanBurenSt,FranklinSt_JacksonBlvd
0,DaytonSt_NorthAve,WellsSt_HuronSt
0,MilwaukeeAve_WabansiaAve,DamenAve_AugustaBlvd
1,LakeShoreDr_OhioSt,ColumbusDr_RandolphSt
1,ColumbusDr_RandolphSt,WabashAve_AdamsSt
1,WellsSt_ConcordLn,ClarkSt_NorthAve
1,WabashAve_RooseveltRd,StateSt_HarrisonSt
1,LakeviewAve_FullertonPkwy,CannonDr_FullertonAve
1,LakefrontTrail_BrynMawrAve,RidgeBlvd_TouhyAve
1,MichiganAve_OakSt,LakefrontTrail_BrynMawrAve
1,CaliforniaAve_MilwaukeeAve,MilwaukeeAve_RockwellSt
1,ClarendonAve_GordonTer,Broadway_WavelandAve
1,SouthportAve_WavelandAve,LeavittSt_AddisonSt
2,WabashAve_RooseveltRd,StateSt_KinzieSt
2,WabashAve_AdamsSt,WabashAve_RooseveltRd
2,LarrabeeSt_ArmitageAve,CliftonAve_ArmitageAve
2,Broadway_WavelandAve,ClarendonAve_GordonTer
3,WabashAve_WackerPl,LakeShoreDr_OhioSt
3,StateSt_KinzieSt,WabashAve_WackerPl
3,FranklinSt_JacksonBlvd,ColumbusDr_RandolphSt
3,ColumbusDr_RandolphSt,FairbanksCt_GrandAve
4,FairbanksCt_GrandAve,FranklinSt_JacksonBlvd
4,Broadway_WavelandAve,Broadway_BerwynAve
5,CanalSt_AdamsSt,McClurgCt_ErieSt
5,AberdeenSt_JacksonBlvd,LaSalleSt_JacksonBlvd
6,RacineAve_WrightwoodAve,SheffieldAve_FullertonAve
6,ClintonSt_WashingtonBlvd,WolcottAve_PolkSt
6,StateSt_HarrisonSt,DearbornSt_MonroeSt
6,OgdenAve_RaceAve,GreenSt_MadisonSt
6,Broadway_BarryAve,CliftonAve_ArmitageAve
6,CanalSt_MadisonSt,LaSalleSt_JacksonBlvd
6,CanalSt_MadisonSt,LaSalleSt_AdamsSt
6,RushSt_SuperiorSt,OrleansSt_OhioSt
6,FairbanksCt_GrandAve,ClintonSt_WashingtonBlvd
6,KingsburySt_ErieSt,FranklinSt_LakeSt
7,ClintonSt_WashingtonBlvd,FranklinSt_ChicagoAve
7,RacineAve_WrightwoodAve,SheffieldAve_FullertonAve
7,CanalSt_MadisonSt,DearbornSt_MonroeSt
7,ClintonSt_WashingtonBlvd,LaSalleSt_JacksonBlvd
7,MillenniumPark,MuseumofScienceandIndustry
7,ClintonSt_WashingtonBlvd,St.ClairSt_ErieSt
7,CanalSt_MadisonSt,LaSalleSt_JacksonBlvd
7,ClarkSt_ArmitageAve,MaySt_RandolphSt
7,EllisAve_55thSt,EllisAve_58thSt
7,CanalSt_AdamsSt,StateSt_KinzieSt
8,CottageGroveAve_63rdSt,EllisAve_58thSt
8,CanalSt_AdamsSt,MichiganAve_WashingtonSt
8,MuseumofScienceandIndustry,EllisAve_58thSt
8,StateSt_29thSt,DusableHarbor
8,CanalSt_JacksonBlvd,ClintonSt_LakeSt
8,SheridanRd_BuenaAve,SheridanRd_IrvingParkRd
8,GreenviewAve_FullertonAve,SheffieldAve_FullertonAve
8,ClintonSt_WashingtonBlvd,WabashAve_AdamsSt
8,KedzieAve_PalmerCt,CaliforniaAve_MilwaukeeAve
8,LarrabeeSt_MenomoneeSt,SedgwickSt_NorthAve
9,MichiganAve_CongressPkwy,MichiganAve_WashingtonSt
9,StocktonDr_WrightwoodAve,StreeterDr_GrandAve
9,WellsSt_WaltonSt,ColumbusDr_RandolphSt
9,GreenSt_MadisonSt,DaleyCenterPlaza
9,HalstedSt_DiverseyPkwy,SheffieldAve_WebsterAve
9,StreeterDr_GrandAve,SheddAquarium
9,ColumbusDr_RandolphSt,FranklinSt_MonroeSt
9,DesplainesSt_KinzieSt,OgdenAve_RaceAve
9,CannonDr_FullertonAve,MichiganAve_OakSt
9,PineGroveAve_WavelandAve,WesternAve_LelandAve
10,AlbanyAve_BloomingdaleAve,DamenAve_CortlandSt
10,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
10,TheaterontheLake,StreeterDr_GrandAve
10,StetsonAve_SouthWaterSt,StreeterDr_GrandAve
10,DearbornSt_ErieSt,TheaterontheLake
10,ClarkSt_ArmitageAve,StreeterDr_GrandAve
10,StreeterDr_GrandAve,SheddAquarium
10,StreeterDr_GrandAve,WabashAve_WackerPl
10,StreeterDr_GrandAve,TheaterontheLake
10,ClarkSt_WrightwoodAve,StreeterDr_GrandAve
11,StreeterDr_GrandAve,LakeShoreDr_NorthBlvd
11,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
11,MichiganAve_LakeSt,StateSt_VanBurenSt
11,FortDearbornDr_31stSt,MuseumofScienceandIndustry
11,IndianaAve_RooseveltRd,FortDearbornDr_31stSt
11,DamenAve_CortlandSt,ArtesianAve_HubbardSt
11,MillenniumPark,StreeterDr_GrandAve
11,FieldBlvd_SouthWaterSt,StreeterDr_GrandAve
11,CannonDr_FullertonAve,StreeterDr_GrandAve
11,LincolnAve_FullertonAve,CannonDr_FullertonAve
12,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
12,SheddAquarium,StateSt_RandolphSt
12,LakeShoreDr_MonroeSt,SheddAquarium
12,DusableHarbor,StreeterDr_GrandAve
12,TheaterontheLake,MichiganAve_OakSt
12,StreeterDr_GrandAve,TheaterontheLake
12,LakeShoreDr_MonroeSt,AdlerPlanetarium
12,TheaterontheLake,McClurgCt_IllinoisSt
12,LakeShoreDr_NorthBlvd,StreeterDr_GrandAve
12,StreeterDr_GrandAve,MichiganAve_JacksonBlvd
13,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
13,SheddAquarium,LakeShoreDr_MonroeSt
13,Broadway_ThorndaleAve,LakefrontTrail_BrynMawrAve
13,EllisAve_58thSt,MuseumofScienceandIndustry
13,StreeterDr_GrandAve,MillenniumPark
13,TheaterontheLake,StreeterDr_GrandAve
13,StreeterDr_GrandAve,LakeShoreDr_MonroeSt
13,WellsSt_HuronSt,MillenniumPark
13,StreeterDr_GrandAve,MichiganAve_OakSt
13,MillenniumPark,FranklinSt_JacksonBlvd
14,LakeShoreDr_MonroeSt,LakeShoreDr_NorthBlvd
14,TheaterontheLake,StreeterDr_GrandAve
14,LakefrontTrail_BrynMawrAve,MontroseHarbor
14,StreeterDr_GrandAve,TheaterontheLake
14,LakeShoreDr_MonroeSt,MichiganAve_OakSt
14,MichiganAve_OakSt,TheaterontheLake
14,SheddAquarium,StreeterDr_GrandAve
14,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
14,DusableHarbor,MichiganAve_OakSt
14,ClarkSt_ArmitageAve,LakeShoreDr_NorthBlvd
15,TheaterontheLake,StreeterDr_GrandAve
15,StreeterDr_GrandAve,LakeShoreDr_MonroeSt
15,SheddAquarium,LakeShoreDr_MonroeSt
15,LakeShoreDr_NorthBlvd,StreeterDr_GrandAve
15,MontroseHarbor,TheaterontheLake
15,MillenniumPark,StreeterDr_GrandAve
15,Broadway_BelmontAve,ClarkSt_LincolnAve
15,StreeterDr_GrandAve,MichiganAve_JacksonBlvd
15,StreeterDr_GrandAve,SheddAquarium
15,WabashAve_GrandAve,KingsburySt_KinzieSt
16,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
16,LakeShoreDr_NorthBlvd,StreeterDr_GrandAve
16,StreeterDr_GrandAve,FieldMuseum
16,StreeterDr_GrandAve,MichiganAve_OakSt
16,TheaterontheLake,MichiganAve_OakSt
16,MichiganAve_OakSt,LakeShoreDr_NorthBlvd
16,StreeterDr_GrandAve,TheaterontheLake
16,BurnhamHarbor,DusableHarbor
16,SheddAquarium,StateSt_VanBurenSt
16,WabashAve_GrandAve,CanalSt_AdamsSt
17,TheaterontheLake,LakeShoreDr_OhioSt
17,BurnhamHarbor,MillenniumPark
17,FieldMuseum,MillenniumPark
17,LakeviewAve_FullertonPkwy,StreeterDr_GrandAve
17,MillenniumPark,MichiganAve_OakSt
17,LakeShoreDr_NorthBlvd,MichiganAve_OakSt
17,IndianaAve_RooseveltRd,StreeterDr_GrandAve
17,Broadway_WavelandAve,TheaterontheLake
17,LakeShoreDr_OhioSt,SheddAquarium
17,LakeShoreDr_OhioSt,StreeterDr_GrandAve
18,AberdeenSt_MonroeSt,SheddAquarium
18,StreeterDr_GrandAve,LakeShoreDr_NorthBlvd
18,LakeShoreDr_NorthBlvd,McClurgCt_IllinoisSt
18,IndianaAve_RooseveltRd,MichiganAve_WashingtonSt
18,ClarendonAve_GordonTer,TheaterontheLake
18,WellsSt_EvergreenAve,LakeShoreDr_NorthBlvd
18,RushSt_CedarSt,Broadway_BelmontAve
18,LakeShoreDr_OhioSt,LakeShoreDr_NorthBlvd
18,FieldMuseum,BurnhamHarbor
18,MichiganAve_LakeSt,StreeterDr_GrandAve
19,LakeShoreDr_NorthBlvd,StreeterDr_GrandAve
19,TheaterontheLake,LakeShoreDr_NorthBlvd
19,SheddAquarium,LakeShoreDr_MonroeSt
19,SheddAquarium,StreeterDr_GrandAve
19,DusableHarbor,IndianaAve_RooseveltRd
19,StreeterDr_GrandAve,MillenniumPark
19,LakeShoreDr_MonroeSt,SheddAquarium
19,LakeShoreDr_MonroeSt,MichiganAve_OakSt
19,McClurgCt_IllinoisSt,MillenniumPark
19,HumboldtBlvd_ArmitageAve,KedzieAve_MilwaukeeAve
20,MillenniumPark,StateSt_KinzieSt
20,HalstedSt_RoscoeSt,Broadway_BerwynAve
20,Broadway_BerwynAve,Broadway_GranvilleAve
20,SheddAquarium,MichiganAve_CongressPkwy
20,SheddAquarium,IndianaAve_RooseveltRd
20,MontroseHarbor,Broadway_WilsonAve
20,McClurgCt_IllinoisSt,MichiganAve_CongressPkwy
20,MichiganAve_OakSt,DusableHarbor
20,MichiganAve_OakSt,McClurgCt_IllinoisSt
20,St.ClairSt_ErieSt,MichiganAve_LakeSt
21,StreeterDr_GrandAve,LakeShoreDr_MonroeSt
21,OrleansSt_OhioSt,JeffersonSt_MonroeSt
21,MichiganAve_CongressPkwy,WabashAve_8thSt
21,StreeterDr_GrandAve,FranklinSt_MonroeSt
21,AdaSt_WashingtonBlvd,HumboldtDr_LuisMunozMarinDr
21,AshlandAve_BellePlaineAve,ClarkSt_WinnemacAve
21,LakeShoreDr_MonroeSt,LakeShoreDr_NorthBlvd
21,DaytonSt_NorthAve,DamenAve_PierceAve
21,TheaterontheLake,WellsSt_ConcordLn
21,CalumetAve_21stSt,HalstedSt_21stSt
22,LakeShoreDr_MonroeSt,StreeterDr_GrandAve
22,LakeShoreDr_NorthBlvd,ClarendonAve_GordonTer
22,MillenniumPark,WabashAve_8thSt
22,LakeShoreDr_MonroeSt,LakeShoreDr_NorthBlvd
22,LakeShoreDr_BelmontAve,StreeterDr_GrandAve
22,ClarkSt_GraceSt,LakeShoreDr_BelmontAve
22,DamenAve_PierceAve,OgdenAve_CongressPkwy
22,FranklinSt_ChicagoAve,WellsSt_EvergreenAve
22,ClarkSt_BerwynAve,SouthportAve_WavelandAve
22,CanalSt_JacksonBlvd,MichiganAve_PearsonSt
23,FieldMuseum,DusableHarbor
23,FieldMuseum,MarshfieldAve_CortlandSt
23,SheddAquarium,MichiganAve_JacksonBlvd
23,DamenAve_FosterAve,LincolnAve_LeavittSt
23,FieldMuseum,WabashAve_RooseveltRd
23,FieldMuseum,LakeShoreDr_MonroeSt
23,HalstedSt_21stSt,McCormickPlace
23,HalstedSt_BlackhawkSt,LarrabeeSt_KingsburySt
23,DamenAve_LelandAve,SheffieldAve_AddisonSt
23,BudlongWoodsLibrary,DamenAve_FosterAve
